date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2022-06-15;60+;22;22,0;22;22,0;22;22;22,0;22;22;22;22;22,0;80;80,0;80;80,0;80;80;80;80;80;80,0;80,0;80,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-15;alle;27;27,0;27;27,0;27;27;27,0;27;27;27;27;27,0;124;124,0;124;124,0;124;124;124;124;124;124,0;124,0;124,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-14;0-60;11;11,0;11;11,0;11;11;11,0;11;11;11;11;11,0;50;50,0;50;50,0;50;50;50;50;50;50,0;50,0;50,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-14;60+;18;18,0;18;18,0;18;18;18,0;18;18;18;18;18,0;93;93,0;93;93,0;93;93;93;93;93;93,0;93,0;93,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-14;alle;29;29,0;29;29,0;29;29;29,0;29;29;29;29;29,0;143;143,0;143;143,0;143;143;143;143;143;143,0;143,0;143,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-13;0-60;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;39;39,0;39;39,0;39;39;39;39;39;39,0;39,0;39,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-13;60+;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;78;78,0;78;78,0;78;78;78;78;78;78,0;78,0;78,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-13;alle;2;2,0;2;2,0;2;2;2,0;2;2;2;2;2,0;117;117,0;117;117,0;117;117;117;117;117;117,0;117,0;117,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-12;0-60;0;0,0;0;0,0;0;0;0,0;0;0;0;0;0,0;39;39,0;39;39,0;39;39;39;39;39;39,0;39,0;39,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-12;60+;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;80;80,0;80;80,0;80;80;80;80;80;80,0;80,0;80,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-12;alle;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;119;119,0;119;119,0;119;119;119;119;119;119,0;119,0;119,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-11;0-60;8;8,0;8;8,0;8;8;8,0;8;8;8;8;8,0;39;39,0;39;39,0;39;39;39;39;39;39,0;39,0;39,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-11;60+;6;6,0;6;6,0;6;6;6,0;6;6;6;6;6,0;80;80,0;80;80,0;80;80;80;80;80;80,0;80,0;80,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-11;alle;14;14,0;14;14,0;14;14;14,0;14;14;14;14;14,0;119;119,0;119;119,0;119;119;119;119;119;119,0;119,0;119,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-10;0-60;13;13,0;13;13,0;13;13;13,0;13;13;13;13;13,0;35;35,0;35;35,0;35;35;35;35;35;35,0;35,0;35,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-10;60+;8;8,0;8;8,0;8;8;8,0;8;8;8;8;8,0;76;76,0;76;76,0;76;76;76;76;76;76,0;76,0;76,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-10;alle;21;21,0;21;21,0;21;21;21,0;21;21;21;21;21,0;111;111,0;111;111,0;111;111;111;111;111;111,0;111,0;111,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-09;0-60;6;6,0;6;6,0;6;6;6,0;6;6;6;6;6,0;26;26,0;26;26,0;26;26;26;26;26;26,0;26,0;26,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-09;60+;24;24,0;24;24,0;24;24;24,0;24;24;24;24;24,0;76;76,0;76;76,0;76;76;76;76;76;76,0;76,0;76,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-09;alle;30;30,0;30;30,0;30;30;30,0;30;30;30;30;30,0;102;102,0;102;102,0;102;102;102;102;102;102,0;102,0;102,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-08;0-60;11;11,0;11;11,0;11;11;11,0;11;11;11;11;11,0;28;28,0;28;28,0;28;28;28;28;28;28,0;28,0;28,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-08;60+;35;35,0;35;35,0;35;35;35,0;35;35;35;35;35,0;63;63,0;63;63,0;63;63;63;63;63;63,0;63,0;63,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-08;alle;46;46,0;46;46,0;46;46;46,0;46;46;46;46;46,0;91;91,0;91;91,0;91;91;91;91;91;91,0;91,0;91,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-07;0-60;0;0,0;0;0,0;0;0;0,0;0;0;0;0;0,0;22;22,0;22;22,0;22;22;22;22;22;22,0;22,0;22,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-07;60+;3;3,0;3;3,0;3;3;3,0;3;3;3;3;3,0;37;37,0;37;37,0;37;37;37;37;37;37,0;37,0;37,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-07;alle;3;3,0;3;3,0;3;3;3,0;3;3;3;3;3,0;59;59,0;59;59,0;59;59;59;59;59;59,0;59,0;59,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-06;0-60;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;29;29,0;29;29,0;29;29;29;29;29;29,0;29,0;29,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-06;60+;3;3,0;3;3,0;3;3;3,0;3;3;3;3;3,0;49;49,0;49;49,0;49;49;49;49;49;49,0;49,0;49,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-06;alle;4;4,0;4;4,0;4;4;4,0;4;4;4;4;4,0;78;78,0;78;78,0;78;78;78;78;78;78,0;78,0;78,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-05;0-60;0;0,0;0;0,0;0;0;0,0;0;0;0;0;0,0;28;28,0;28;28,0;28;28;28;28;28;28,0;28,0;28,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-05;60+;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;46;46,0;46;46,0;46;46;46;46;46;46,0;46,0;46,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-05;alle;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;74;74,0;74;74,0;74;74;74;74;74;74,0;74,0;74,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-04;0-60;4;4,0;4;4,0;4;4;4,0;4;4;4;4;4,0;28;28,0;28;28,0;28;28;28;28;28;28,0;28,0;28,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-04;60+;2;2,0;2;2,0;2;2;2,0;2;2;2;2;2,0;46;46,0;46;46,0;46;46;46;46;46;46,0;46,0;46,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-04;alle;6;6,0;6;6,0;6;6;6,0;6;6;6;6;6,0;74;74,0;74;74,0;74;74;74;74;74;74,0;74,0;74,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-03;0-60;4;4,0;4;4,0;4;4;4,0;4;4;4;4;4,0;28;28,0;28;28,0;28;28;28;28;28;28,0;28,0;28,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-03;60+;8;8,0;8;8,0;8;8;8,0;8;8;8;8;8,0;52;52,0;52;52,0;52;52;52;52;52;52,0;52,0;52,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-03;alle;12;12,0;12;12,0;12;12;12,0;12;12;12;12;12,0;80;80,0;80;80,0;80;80;80;80;80;80,0;80,0;80,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-02;0-60;8;8,0;8;8,0;8;8;8,0;8;8;8;8;8,0;27;27,0;27;27,0;27;27;27;27;27;27,0;27,0;27,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-02;60+;11;11,0;11;11,0;11;11;11,0;11;11;11;11;11,0;47;47,0;47;47,0;47;47;47;47;47;47,0;47,0;47,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-02;alle;19;19,0;19;19,0;19;19;19,0;19;19;19;19;19,0;74;74,0;74;74,0;74;74;74;74;74;74,0;74,0;74,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-01;0-60;5;5,0;5;5,0;5;5;5,0;5;5;5;5;5,0;23;23,0;23;23,0;23;23;23;23;23;23,0;23,0;23,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-01;60+;9;9,0;9;9,0;9;9;9,0;9;9;9;9;9,0;44;44,0;44;44,0;44;44;44;44;44;44,0;44,0;44,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-06-01;alle;14;14,0;14;14,0;14;14;14,0;14;14;14;14;14,0;67;67,0;67;67,0;67;67;67;67;67;67,0;67,0;67,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-31;0-60;7;7,0;7;7,0;7;7;7,0;7;7;7;7;7,0;26;26,0;26;26,0;26;26;26;26;26;26,0;26,0;26,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-31;60+;15;15,0;15;15,0;15;15;15,0;15;15;15;15;15,0;45;45,0;45;45,0;45;45;45;45;45;45,0;45,0;45,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-31;alle;22;22,0;22;22,0;22;22;22,0;22;22;22;22;22,0;71;71,0;71;71,0;71;71;71;71;71;71,0;71,0;71,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-30;0-60;0;0,0;0;0,0;0;0;0,0;0;0;0;0;0,0;25;25,0;25;25,0;25;25;25;25;25;25,0;25,0;25,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-30;60+;0;0,0;0;0,0;0;0;0,0;0;0;0;0;0,0;46;46,0;46;46,0;46;46;46;46;46;46,0;46,0;46,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-30;alle;0;0,0;0;0,0;0;0;0,0;0;0;0;0;0,0;71;71,0;71;71,0;71;71;71;71;71;71,0;71,0;71,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-29;0-60;0;0,0;0;0,0;0;0;0,0;0;0;0;0;0,0;25;25,0;25;25,0;25;25;25;25;25;25,0;25,0;25,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-29;60+;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;48;48,0;48;48,0;48;48;48;48;48;48,0;48,0;48,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-29;alle;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;73;73,0;73;73,0;73;73;73;73;73;73,0;73,0;73,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-28;0-60;4;4,0;4;4,0;4;4;4,0;4;4;4;4;4,0;27;27,0;27;27,0;27;27;27;27;27;27,0;27,0;27,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-28;60+;8;8,0;8;8,0;8;8;8,0;8;8;8;8;8,0;48;48,0;48;48,0;48;48;48;48;48;48,0;48,0;48,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-28;alle;12;12,0;12;12,0;12;12;12,0;12;12;12;12;12,0;75;75,0;75;75,0;75;75;75;75;75;75,0;75,0;75,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-27;0-60;3;3,0;3;3,0;3;3;3,0;3;3;3;3;3,0;28;28,0;28;28,0;28;28;28;28;28;28,0;28,0;28,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-27;60+;3;3,0;3;3,0;3;3;3,0;3;3;3;3;3,0;49;49,0;49;49,0;49;49;49;49;49;49,0;49,0;49,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-27;alle;6;6,0;6;6,0;6;6;6,0;6;6;6;6;6,0;77;77,0;77;77,0;77;77;77;77;77;77,0;77,0;77,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-26;0-60;4;4,0;4;4,0;4;4;4,0;4;4;4;4;4,0;31;31,0;31;31,0;31;31;31;31;31;31,0;31,0;31,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-26;60+;8;8,0;8;8,0;8;8;8,0;8;8;8;8;8,0;52;52,0;52;52,0;52;52;52;52;52;52,0;52,0;52,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-26;alle;12;12,0;12;12,0;12;12;12,0;12;12;12;12;12,0;83;83,0;83;83,0;83;83;83;83;83;83,0;83,0;83,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-25;0-60;8;8,0;8;8,0;8;8;8,0;8;8;8;8;8,0;37;37,0;37;37,0;37;37;37;37;37;37,0;37,0;37,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-25;60+;10;10,0;10;10,0;10;10;10,0;10;10;10;10;10,0;53;53,0;53;53,0;53;53;53;53;53;53,0;53,0;53,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-25;alle;18;18,0;18;18,0;18;18;18,0;18;18;18;18;18,0;90;90,0;90;90,0;90;90;90;90;90;90,0;90,0;90,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-24;0-60;6;6,0;6;6,0;6;6;6,0;6;6;6;6;6,0;35;35,0;35;35,0;35;35;35;35;35;35,0;35,0;35,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-24;60+;16;16,0;16;16,0;16;16;16,0;16;16;16;16;16,0;56;56,0;56;56,0;56;56;56;56;56;56,0;56,0;56,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-24;alle;22;22,0;22;22,0;22;22;22,0;22;22;22;22;22,0;91;91,0;91;91,0;91;91;91;91;91;91,0;91,0;91,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-23;0-60;0;0,0;0;0,0;0;0;0,0;0;0;0;0;0,0;36;36,0;36;36,0;36;36;36;36;36;36,0;36,0;36,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-23;60+;2;2,0;2;2,0;2;2;2,0;2;2;2;2;2,0;59;59,0;59;59,0;59;59;59;59;59;59,0;59,0;59,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-23;alle;2;2,0;2;2,0;2;2;2,0;2;2;2;2;2,0;95;95,0;95;95,0;95;95;95;95;95;95,0;95,0;95,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-22;0-60;2;2,0;2;2,0;2;2;2,0;2;2;2;2;2,0;36;36,0;36;36,0;36;36;36;36;36;36,0;36,0;36,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-22;60+;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;58;58,0;58;58,0;58;58;58;58;58;58,0;58,0;58,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-22;alle;3;3,0;3;3,0;3;3;3,0;3;3;3;3;3,0;94;94,0;94;94,0;94;94;94;94;94;94,0;94,0;94,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-21;0-60;5;5,0;5;5,0;5;5;5,0;5;5;5;5;5,0;35;35,0;35;35,0;35;35;35;35;35;35,0;35,0;35,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-21;60+;9;9,0;9;9,0;9;9;9,0;9;9;9;9;9,0;60;60,0;60;60,0;60;60;60;60;60;60,0;60,0;60,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-21;alle;14;14,0;14;14,0;14;14;14,0;14;14;14;14;14,0;95;95,0;95;95,0;95;95;95;95;95;95,0;95,0;95,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-20;0-60;6;6,0;6;6,0;6;6;6,0;6;6;6;6;6,0;35;35,0;35;35,0;35;35;35;35;35;35,0;35,0;35,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-20;60+;6;6,0;6;6,0;6;6;6,0;6;6;6;6;6,0;67;67,0;67;67,0;67;67;67;67;67;67,0;67,0;67,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-20;alle;12;12,0;12;12,0;12;12;12,0;12;12;12;12;12,0;102;102,0;102;102,0;102;102;102;102;102;102,0;102,0;102,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-19;0-60;10;10,0;10;10,0;10;10;10,0;10;10;10;10;10,0;32;32,0;32;32,0;32;32;32;32;32;32,0;32,0;32,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-19;60+;9;9,0;9;9,0;9;9;9,0;9;9;9;9;9,0;73;73,0;73;73,0;73;73;73;73;73;73,0;73,0;73,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-19;alle;19;19,0;19;19,0;19;19;19,0;19;19;19;19;19,0;105;105,0;105;105,0;105;105;105;105;105;105,0;105,0;105,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-18;0-60;6;6,0;6;6,0;6;6;6,0;6;6;6;6;6,0;30;30,0;30;30,0;30;30;30;30;30;30,0;30,0;30,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-18;60+;13;13,0;13;13,0;13;13;13,0;13;13;13;13;13,0;79;79,0;79;79,0;79;79;79;79;79;79,0;79,0;79,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-18;alle;19;19,0;19;19,0;19;19;19,0;19;19;19;19;19,0;109;109,0;109;109,0;109;109;109;109;109;109,0;109,0;109,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-17;0-60;7;7,0;7;7,0;7;7;7,0;7;7;7;7;7,0;28;28,0;28;28,0;28;28;28;28;28;28,0;28,0;28,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-17;60+;19;19,0;19;19,0;19;19;19,0;19;19;19;19;19,0;81;81,0;81;81,0;81;81;81;81;81;81,0;81,0;81,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-17;alle;26;26,0;26;26,0;26;26;26,0;26;26;26;26;26,0;109;109,0;109;109,0;109;109;109;109;109;109,0;109,0;109,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-16;0-60;0;0,0;0;0,0;0;0;0,0;0;0;0;0;0,0;29;29,0;29;29,0;29;29;29;29;29;29,0;29,0;29,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-16;60+;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;89;89,0;89;89,0;89;89;89;89;89;89,0;89,0;89,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
2022-05-16;alle;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;118;118,0;118;118,0;118;118;118;118;118;118,0;118,0;118,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-15;0-60;1;1,0;1;1,0;1;1;1,0;1;1;1;1;1,0;29;29,0;29;29,0;29;29;29;29;29;29,0;29,0;29,0;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000
